FIPS,State,County,MedHHInc2013,PerCapitaInc,PovertyUnder18Pct2013,PovertyAllAgesPct2013,Deep_Pov_All,Deep_Pov_Children,PovertyUnder18Num2013,PovertyAllAgesNum2013
00000,US,United States,52250,28155,22.2,15.8,6.8,9.6,16086960,48810868
01000,AL,Alabama,42882,23680,27.4,18.9,8.0,12.6,300649,889091
01001,AL,Autauga,51868,24571,19.6,13.5,6.2,10.5,2724,7397
01003,AL,Baldwin,47539,26766,20.8,14.2,5.3,7.6,8994,27429
01005,AL,Barbour,30981,16829,42.4,28.2,13.3,25.7,2393,6654
01007,AL,Bibb,39781,17427,35.6,23.1,6.2,7.9,1664,4689
01009,AL,Blount,44392,20730,26.6,17.2,6.1,10.6,3637,9878
01011,AL,Bullock,25937,18628,44.2,35.2,11.6,23.7,974,3123
01013,AL,Butler,31041,17403,39.8,28.8,10.3,19.7,1864,5731
01015,AL,Calhoun,37898,20828,28.7,21.4,9.6,14.8,7301,24338
01017,AL,Chambers,33883,19291,34.7,22.5,11.6,23.2,2497,7578
01019,AL,Cherokee,37478,22030,31.6,20.1,6.3,11.3,1697,5199
01021,AL,Chilton,41348,20701,33.7,20.3,8.8,15.0,3526,8841
01023,AL,Choctaw,33581,20323,31,22.4,7.0,12.8,870,2976
01025,AL,Clarke,34593,18979,35.3,25.4,12.8,16.6,2034,6318
01027,AL,Clay,33344,18694,28.9,19.6,6.4,8.4,836,2590
01029,AL,Cleburne,40407,19108,27.6,18.9,9.8,20.2,920,2787
01031,AL,Coffee,44666,23380,27.9,18.5,7.4,13.0,3324,9315
01033,AL,Colbert,40032,21572,25.8,16.3,7.5,12.7,3014,8794
01035,AL,Conecuh,27196,15605,43.4,30.5,13.1,24.9,1211,3900
01037,AL,Coosa,35175,18493,30.9,19.9,9.0,16.3,627,2141
01039,AL,Covington,35187,20391,29.2,19.2,7.8,14.4,2408,7156
01041,AL,Crenshaw,34105,21343,31.3,22.2,6.2,9.3,995,3069
01043,AL,Cullman,40142,20760,22.6,16.4,7.2,11.6,4040,13076
01045,AL,Dale,41805,22685,28.2,20.1,6.9,10.3,3298,9804
01047,AL,Dallas,27524,17245,49.6,31.3,16.8,31.8,5253,12975
01049,AL,DeKalb,36713,18149,30.3,20,6.2,9.3,5257,14044
01051,AL,Elmore,51650,23856,20.2,13.4,6.2,10.2,3760,10071
01053,AL,Escambia,33455,16540,37.1,27.8,12.2,19.1,3071,9615
01055,AL,Etowah,38587,20204,28.1,19.6,7.4,11.4,6382,19938
01057,AL,Fayette,35661,18494,29.6,20.7,6.8,11.9,1073,3440
01059,AL,Franklin,33332,18888,36.3,23.1,8.7,14.4,2752,7194
01061,AL,Geneva,35378,20199,38.2,23.6,9.5,15.9,2235,6224
01063,AL,Greene,25864,14930,50.5,35,13.0,25.4,1020,3040
01065,AL,Hale,33597,18812,38.8,25.7,13.8,30.0,1382,3877
01067,AL,Henry,41590,21924,28.7,18.2,4.7,7.2,1042,3102
01069,AL,Houston,39636,23316,30.1,18.1,7.8,14.2,7377,18527
01071,AL,Jackson,37204,20486,28.1,16.9,5.9,9.1,3217,8863
01073,AL,Jefferson,45024,26906,26.8,18.9,7.8,12.4,40476,122167
01075,AL,Lamar,36475,19026,30.8,23,7.8,8.8,961,3221
01077,AL,Lauderdale,43586,23510,24.5,17.1,8.2,12.4,4647,15526
01079,AL,Lawrence,40713,20181,26.2,17.4,6.2,10.4,1902,5798
01081,AL,Lee,44647,23506,21.8,19.8,10.8,9.4,7090,29094
01083,AL,Limestone,50148,25020,21.2,15.9,4.9,6.6,4352,13621
01085,AL,Lowndes,29734,18368,53.1,37,12.5,21.4,1324,3919
01087,AL,Macon,29228,16826,46.4,33.8,13.0,21.4,1692,6084
01089,AL,Madison,58258,31933,19.6,13.9,5.7,8.5,15295,47136
01091,AL,Marengo,33749,22072,50,31.5,9.3,16.3,2309,6268
01093,AL,Marion,34162,19576,30.5,20.8,8.4,13.0,1919,6117
01095,AL,Marshall,38399,20382,29.5,18.1,8.4,14.5,6781,16870
01097,AL,Mobile,42278,22501,31.3,20.3,9.0,14.8,30830,82625
01099,AL,Monroe,32696,15749,39.1,29.7,13.6,25.3,2063,6519
01101,AL,Montgomery,44013,24975,33,22.1,9.2,14.1,17864,48080
01103,AL,Morgan,44079,23764,25.1,17.4,6.0,9.6,6874,20479
01105,AL,Perry,25461,13716,52.6,36.4,13.9,28.7,1206,3360
01107,AL,Pickens,32314,17153,36.3,23.8,10.7,18.8,1523,4490
01109,AL,Pike,35944,19715,34.8,25.3,15.7,16.8,2276,7969
01111,AL,Randolph,35121,19830,34.1,23.4,10.7,17.6,1693,5202
01113,AL,Russell,35762,19678,34,23.9,9.2,12.9,5040,14070
01115,AL,St. Clair,52437,23872,20.7,14,6.9,11.6,4087,11779
01117,AL,Shelby,68718,33313,11.2,8.3,3.6,5.3,5603,16664
01119,AL,Sumter,24504,14156,48.8,38,17.8,24.3,1283,4756
01121,AL,Talladega,38505,19410,28.9,19.8,9.2,15.3,5099,15399
01123,AL,Tallapoosa,37747,21434,36.3,22.2,8.8,17.6,3161,9025
01125,AL,Tuscaloosa,45959,22637,23.4,17.2,9.5,12.4,9765,32728
01127,AL,Walker,37193,20698,32.2,22,8.2,13.8,4629,14293
01129,AL,Washington,41115,20395,29.2,19.7,5.1,6.2,1116,3298
01131,AL,Wilcox,23184,13379,50.1,32.4,24.0,38.0,1420,3624
01133,AL,Winston,33578,18995,33.9,21.9,7.4,11.4,1703,5215
02000,AK,Alaska,70058,32651,13.6,10.1,4.4,5.6,25030,72643
02010,AK,Aleutian Islands,,,,,,,,
02013,AK,Aleutians East,56856,26535,13.3,15.2,4.8,1.0,43,470
02016,AK,Aleutians West,74088,31790,7.6,8.1,3.4,2.9,52,426
02020,AK,Anchorage,76362,36214,10.2,7.7,3.8,4.4,7571,22753
02050,AK,Bethel,42876,18497,30.8,25.1,8.0,9.1,1924,4384
02060,AK,Bristol Bay,65283,37024,10.4,9.5,5.6,4.8,21,89
02068,AK,Denali,68103,35295,3.9,5.4,7.0,0.9,15,100
02070,AK,Dillingham,47930,21498,28.6,20.9,5.6,7.2,454,1037
02090,AK,Fairbanks North Star,67204,32143,11.2,8.8,3.9,5.4,2724,8497
02100,AK,Haines,55295,31096,17.8,11.4,2.7,0.4,90,295
02105,AK,Hoonah-Angoon,42276,28806,29.1,19.2,7.0,13.6,122,412
02110,AK,Juneau ,83642,37558,9.7,7.5,2.8,3.7,703,2394
02122,AK,Kenai Peninsula,61629,31256,13.9,10.1,3.7,4.5,1789,5623
02130,AK,Ketchikan Gateway,62619,31589,14.3,10.3,4.5,4.8,433,1391
02150,AK,Kodiak Island,64782,28562,9.8,8.5,3.6,2.7,361,1191
02164,AK,Lake and Peninsula,43936,21616,24.4,17.3,8.2,11.6,117,284
02170,AK,Matanuska-Susitna,72371,29534,12,9.4,5.0,6.6,3093,8795
02180,AK,Nome,46471,20271,28.4,26.3,10.9,12.3,963,2547
02185,AK,North Slope,74174,46457,16.7,13.3,4.1,7.7,403,1276
02188,AK,Northwest Arctic,54600,21461,28.6,23.3,7.2,8.2,777,1780
02195,AK,Petersburg,58176,34183,13,10.7,5.1,3.8,109,403
02198,AK,Prince of Wales-Hyder,48175,24581,24.1,17.4,5.9,11.1,343,1003
02201,AK,Prince of Wales-Outer Ketchikan,,,,,,,,
02220,AK,Sitka ,66038,32521,12.6,9.8,4.6,7.5,256,870
02230,AK,Skagway,63930,37139,5.6,4.2,2.9,1.0,7,42
02232,AK,Skagway-Hoonah-Angoon,,,,,,,,
02240,AK,Southeast Fairbanks,54922,29437,21.3,16.1,8.1,14.0,375,1114
02261,AK,Valdez-Cordova,63541,32579,10.9,9.2,3.4,2.3,261,891
02270,AK,Wade Hampton,31274,11210,42.4,34.7,11.6,13.2,1415,2759
02275,AK,Wrangell ,49039,28474,20.7,13.9,4.5,7.9,104,331
02280,AK,Wrangell-Petersburg,,,,,,,,
02282,AK,Yakutat ,56365,34317,26.8,16.7,2.3,4.2,34,107
02290,AK,Yukon-Koyukuk,35114,19729,30.1,24.4,10.4,14.1,470,1380
04000,AZ,Arizona,48504,25358,26.6,18.6,8.4,11.8,422435,1206948
04001,AZ,Apache,30252,12709,49.3,38.7,17.2,24.2,10370,27489
04003,AZ,Cochise,45294,23608,29.1,18.8,8.0,11.7,8350,23177
04005,AZ,Coconino,48732,23382,28.1,23.2,10.3,11.1,8440,29461
04007,AZ,Gila,39868,20792,36.5,22.6,8.6,12.5,3855,11744
04009,AZ,Graham,43497,17168,26.8,21.6,13.1,17.4,2796,7361
04011,AZ,Greenlee,54673,20516,13.8,11.6,8.4,8.5,343,1040
04012,AZ,La Paz,33994,22200,36.9,23.2,7.2,14.1,1276,4643
04013,AZ,Maricopa,52066,27256,25.1,17.6,8.0,11.2,251406,696086
04015,AZ,Mohave,38560,20833,34,21.3,8.4,13.5,12908,42044
04017,AZ,Navajo,37182,16626,43.1,31.8,15.1,22.1,12908,33422
04019,AZ,Pima,43926,25269,26.5,19.3,8.9,12.2,57164,187646
04021,AZ,Pinal,49887,20910,24.3,16.7,7.3,9.9,23243,60575
04023,AZ,Santa Cruz,35753,17664,34.7,22.7,9.6,14.4,4653,10528
04025,AZ,Yavapai,40486,25186,24.4,16.4,7.1,11.4,9122,34732
04027,AZ,Yuma,40498,18840,29.4,19.2,7.7,11.6,15601,37000
05000,AR,Arkansas,40605,22170,28.3,19.4,8.0,12.3,197129,557399
05001,AR,Arkansas,38497,23045,29.6,19.8,5.1,8.2,1258,3650
05003,AR,Ashley,36479,19761,35.4,21.9,8.0,11.8,1745,4607
05005,AR,Baxter,36082,21334,27,15.6,4.6,5.3,1946,6288
05007,AR,Benton,56518,26715,17.1,11.7,5.0,7.6,10873,27393
05009,AR,Boone,38410,22160,26.5,17.2,6.1,9.5,2202,6358
05011,AR,Bradley,31733,19386,39.8,27,12.0,16.8,1039,2987
05013,AR,Calhoun,37497,17763,25.9,18.9,4.3,6.5,238,954
05015,AR,Carroll,34109,20637,36.7,22.2,6.6,11.2,2259,6096
05017,AR,Chicot,28006,16538,46.6,32.4,11.1,18.2,1210,3431
05019,AR,Clark,36517,17960,31.1,22.7,10.7,12.6,1351,4542
05021,AR,Clay,33488,18509,29.5,20,6.6,10.2,943,3035
05023,AR,Cleburne,41612,23044,26.4,16.3,4.1,5.8,1309,4121
05025,AR,Cleveland,42414,20622,26,17,7.2,7.2,526,1445
05027,AR,Columbia,36927,19439,32.1,23.2,11.3,17.5,1649,5241
05029,AR,Conway,38145,20040,33.1,21.1,9.5,13.0,1595,4411
05031,AR,Craighead,41608,23138,28.9,20,9.1,13.8,7174,19502
05033,AR,Crawford,39384,19477,27.9,19.2,7.9,14.1,4273,11666
05035,AR,Crittenden,37726,19665,36.1,23.6,10.9,17.0,4993,11579
05037,AR,Cross,35438,18701,31.3,20.6,6.0,7.4,1315,3546
05039,AR,Dallas,32591,16838,36.9,21.4,7.9,11.4,603,1606
05041,AR,Desha,30241,19822,47.5,34,11.5,19.5,1519,4216
05043,AR,Drew,35249,17057,32.7,24.8,18.2,30.3,1354,4411
05045,AR,Faulkner,49936,24401,19.7,14.9,5.8,4.9,5586,17175
05047,AR,Franklin,38874,19135,31.2,20.7,8.0,9.9,1319,3671
05049,AR,Fulton,33439,19326,40.1,22.9,7.9,19.1,992,2775
05051,AR,Garland,39057,23170,35.1,22.1,9.2,15.5,6899,21098
05053,AR,Grant,47089,23239,21.5,14.2,3.9,6.7,909,2537
05055,AR,Greene,40840,19652,25.3,17.7,6.5,8.2,2650,7500
05057,AR,Hempstead,33715,17376,36.2,22.9,11.0,20.5,2103,5071
05059,AR,Hot Spring,39927,19286,29.8,18.5,4.5,5.6,2079,5789
05061,AR,Howard,32740,18707,35.3,21.5,11.5,20.1,1243,2867
05063,AR,Independence,37761,20289,27.2,18.4,9.5,14.9,2350,6624
05065,AR,Izard,33308,18040,31.4,20.8,6.8,9.9,759,2618
05067,AR,Jackson,32923,15609,40.3,27.5,10.5,18.9,1431,4266
05069,AR,Jefferson,36169,19353,38,25.8,9.6,13.6,6399,17615
05071,AR,Johnson,33634,19366,32.5,23.4,7.7,13.6,2035,5887
05073,AR,Lafayette,30642,17212,40.3,26,6.4,10.3,587,1846
05075,AR,Lawrence,34740,15971,33.6,20.4,8.1,11.3,1257,3328
05077,AR,Lee,27068,12529,51.7,41.1,12.4,24.1,1020,3391
05079,AR,Lincoln,36062,15023,30.3,27.6,15.3,22.4,762,2851
05081,AR,Little River,36310,19880,28.3,19.3,6.7,13.7,811,2423
05083,AR,Logan,34090,19046,30.4,18.7,4.8,8.1,1479,4034
05085,AR,Lonoke,55648,23218,17.7,12.6,4.8,6.7,3312,8803
05087,AR,Madison,36358,18754,30.2,20.2,5.8,9.3,1096,3141
05089,AR,Marion,34217,18188,36,19,6.6,7.7,987,3090
05091,AR,Miller,40005,20636,32,21.4,9.0,16.7,3282,8970
05093,AR,Mississippi,34285,18905,39,25.6,13.5,24.4,4638,11228
05095,AR,Monroe,29870,16939,42,28.7,13.8,26.4,688,2176
05097,AR,Montgomery,31763,19021,37.5,22.4,6.3,7.1,670,2038
05099,AR,Nevada,33341,18695,32.5,21.1,13.0,28.8,645,1816
05101,AR,Newton,31824,17884,39.6,23.5,6.5,5.5,625,1878
05103,AR,Ouachita,35006,18975,43.6,27.5,10.5,17.5,2454,6761
05105,AR,Perry,42328,22047,27.5,17.5,8.3,12.7,610,1789
05107,AR,Phillips,25894,16830,53,36.6,12.9,22.2,2890,7380
05109,AR,Pike,35592,18377,34,21.9,7.3,10.7,875,2396
05111,AR,Poinsett,34113,16919,37.9,24.7,10.4,17.2,2146,5853
05113,AR,Polk,31818,19116,37.9,24.4,10.9,22.2,1780,4921
05115,AR,Pope,39704,19918,25.9,20,5.7,7.4,3624,11743
05117,AR,Prairie,38921,18137,30.4,19.6,9.7,15.9,524,1609
05119,AR,Pulaski,46526,27414,25.7,17.3,7.7,12.0,23608,66197
05121,AR,Randolph,33148,18871,34,22.6,10.0,22.0,1290,3904
05123,AR,St. Francis,29011,15511,50.2,37.3,13.1,24.0,3059,8623
05125,AR,Saline,54921,25962,15.5,10.3,3.7,4.5,4177,11591
05127,AR,Scott,32404,18934,35.2,21.2,9.3,17.9,920,2293
05129,AR,Searcy,27299,16731,43,25.9,7.9,10.2,686,2053
05131,AR,Sebastian,41685,23222,32.5,22.1,7.8,12.6,10020,27648
05133,AR,Sevier,33698,16021,32.9,22.2,7.7,13.4,1637,3806
05135,AR,Sharp,31224,16714,38.7,22.8,7.8,13.0,1360,3825
05137,AR,Stone,27522,17403,40.7,26.2,10.9,20.4,1032,3247
